country,species,area,environment,unit,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brunei Darussalam,Marine fishes nei,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,15.34,0,0,0,0,0,0,0,145.8,22.68,28.35,...,0,0,0,0,154.84,106.2,177,247.8,...,...
Brunei Darussalam,Nile tilapia,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,67.46,0,0,0,0,0,0,0,0,18.61,0
Brunei Darussalam,Orange-spotted grouper,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29.59,24.04,18.89,13.28,21.19,34.41,36.7,39.77,400.24,28.06,333.1
Brunei Darussalam,Snappers nei,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,12.88,0,0,0,0,0,127.08,96,...,22.68,28.35,41.42,0,0,0,0,0,210.23,254.52,192.11,92.16,40.83
Bulgaria,Mediterranean mussel,Mediterranean and Black Sea,Marine,USD 1000,33,34.96,54.53,155.52,108,0,0,0,0,0,0,159,29.4,46.9,64.4,70,8,0,44,12,118,171,228,777.6,1344.7,1000.29,800.24,868.17,842.46,2157.96,2944.9
Cambodia,Barramundi(=Giant seaperch),"Pacific, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,640,800,960,1120,1120,1200,1600
Cambodia,Blood cockle,"Pacific, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,495,600,700,800,900,1000,1300
Cambodia,Eucheuma seaweeds nei,"Pacific, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,875,912.5,1950,4210,4500,1702.5,...,...,...,...,...,...,...,...
Cambodia,Green mussel,"Pacific, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1200,1000,1000,1200,1400,1700,2300
Cambodia,Indo-Pacific swamp crab,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75,100,100,100,200,200,250
Cambodia,Marine fishes nei,"Pacific, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,200,320,480,640,720,800,1200
