,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
212,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,
223,Turkey,28,40,24,25,25,25,11,13,41,39,36,36,34,20,21,17,14,28,28,22,22,21
225,United Arab Emirates,55,138,168,132,118,122,104,50,32,29,51,48,42,34,33,32,62,74,67,48,22,18
299,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,
249,Yemen,87,72,84,84,61,38,34,26,18,13,20,23,15,11,16,17,9,11,21,19,16,15
5205,Latin America and the Caribbean,8,16,17,17,16,19,7,7,11,16,12,12,11,13,15,14,15,14,10,9,11,10
5206,Caribbean,57,29,23,50,72,61,45,15,21,27,51,62,55,40,28,31,33,30,21,46,38,34
258,Anguilla,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
22,Aruba,,,,,,,,,,,,,,,,,,,,,,
12,Bahamas,,,,,,,,,,,,,,,,,,,,,,
14,Barbados,97,38,38,48,67,59,34,28,58,59,70,63,61,51,41,63,63,60,61,68,65,67
239,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,
49,Cuba,184,134,77,138,222,216,164,75,61,77,140,151,132,103,28,25,57,84,107,150,102,91
55,Dominica,140,65,53,80,94,71,37,26,26,24,22,62,67,63,51,35,47,47,56,59,86,74
56,Dominican Republic,30,77,68,64,77,91,70,56,47,59,54,27,35,41,69,74,73,70,66,47,43,50
86,Grenada,,,,,,,,,,,,,,,,,,,,,,
87,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
93,Haiti,52,45,31,28,28,24,24,31,41,59,54,42,45,55,72,65,43,31,17,25,37,63
109,Jamaica,33,34,44,32,38,42,41,28,28,26,14,14,26,29,29,25,12,12,12,20,23,20
135,Martinique,,,,,,,,,,,,,,,,,,,,,,
142,Montserrat,,,,,,,,,,,,,,,,,,,,,,
151,Netherlands Antilles,78,99,95,47,85,88,79,38,30,11,18,31,31,26,32,35,22,24,26,26,19,18
177,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
188,Saint Kitts and Nevis,79,72,69,70,56,34,43,55,56,47,49,62,76,75,64,43,61,49,28,34,32,28
189,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,
191,Saint Vincent and the Grenadines,34,21,27,29,59,56,65,76,90,36,34,35,38,51,51,52,54,13,12,13,18,12
220,Trinidad and Tobago,95,81,62,37,35,36,38,40,38,34,18,39,58,47,54,58,68,41,22,21,19,19
224,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,
240,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
348,Latin America,9,18,19,21,21,24,9,7,12,19,16,13,10,12,17,16,16,16,10,12,13,12
5204,Central America,30,28,26,14,18,16,17,19,30,28,19,19,33,42,40,23,22,24,18,14,17,21
23,Belize,54,55,56,82,94,79,63,53,44,37,45,23,33,43,49,31,16,16,18,40,41,47
