,(table of contents),V_1.5 - Average supply of protein of animal origin,,,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(gr/caput/day),,,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,,,,,,,
68,France,78,77,76,75,76,77,77,78,78,78,79,78,77,74,73,72,71,72,72,72,,,,,,,
79,Germany,59,57,56,55,56,56,57,56,57,57,58,59,59,59,59,60,61,62,62,62,,,,,,,
82,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Greece,58,58,59,60,60,61,61,62,64,64,63,62,62,63,63,64,64,63,63,63,,,,,,,
85,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hungary,57,56,54,51,48,47,47,48,50,51,52,52,52,50,49,49,49,48,46,45,,,,,,,
99,Iceland,78,79,82,82,79,77,79,84,87,88,89,92,95,95,96,98,99,99,97,96,,,,,,,
104,Ireland,70,69,66,65,65,67,69,72,73,75,75,75,74,73,71,69,68,66,64,62,,,,,,,
105,Israel,57,58,59,60,60,60,60,60,62,65,69,70,71,72,72,72,72,71,71,70,,,,,,,
106,Italy,60,60,59,58,59,59,60,61,62,62,62,61,61,60,60,60,60,60,60,60,,,,,,,
110,Japan,55,55,56,56,56,55,54,54,54,55,55,55,53,52,51,51,50,49,49,49,,,,,,,
119,Latvia,62,59,60,57,53,49,44,42,41,40,41,43,46,47,49,52,55,57,59,58,,,,,,,
125,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Lithuania,52,47,48,45,46,44,44,43,46,50,53,53,58,62,69,73,75,76,76,75,,,,,,,
256,Luxembourg,,,,,,,,,67,75,72,74,74,75,75,74,72,70,69,69,,,,,,,
134,Malta,52,53,50,50,52,56,57,58,58,58,57,57,59,59,60,60,61,61,60,59,,,,,,,
140,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Montenegro,,,,,,,,,,,,,,,54,56,56,57,57,58,,,,,,,
150,Netherlands,66,68,68,72,73,74,74,74,75,75,74,70,69,69,73,73,73,73,74,73,,,,,,,
156,New Zealand,62,60,57,60,59,60,56,54,51,52,53,55,56,56,56,57,58,57,55,57,,,,,,,
162,Norway,59,60,61,62,64,64,65,65,65,65,64,64,63,63,63,64,64,65,65,65,,,,,,,
173,Poland,54,53,51,49,49,49,49,50,50,50,50,51,51,50,50,50,50,50,51,52,,,,,,,
174,Portugal,55,57,59,60,61,62,63,65,67,68,68,67,67,67,68,71,71,72,71,70,,,,,,,
146,Republic of Moldova,32,27,28,26,25,25,25,24,24,24,26,27,28,30,33,34,34,32,32,33,,,,,,,
183,Romania,44,42,40,41,41,42,42,42,42,42,44,47,49,51,52,54,55,55,54,51,,,,,,,
185,Russian Federation,46,46,45,45,43,43,43,44,43,42,42,43,44,45,46,48,50,52,53,54,,,,,,,
190,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Serbia,,,,,,,,,,,,,,,35,37,36,36,37,37,,,,,,,
186,Serbia and Montenegro,46,44,45,45,48,49,50,48,47,45,45,44,45,44,,,,,,,,,,,,,
199,Slovakia,,42,39,39,38,38,38,38,37,35,34,35,35,36,36,36,35,35,36,36,,,,,,,
198,Slovenia,38,50,47,53,55,57,58,59,59,60,59,58,58,59,58,57,58,59,59,58,,,,,,,
203,Spain,63,65,66,67,67,67,69,71,72,72,73,74,73,71,70,70,70,68,66,66,,,,,,,
210,Sweden,64,65,66,66,65,64,65,67,67,68,70,72,73,73,72,72,72,71,71,71,,,,,,,
211,Switzerland,64,63,62,61,60,59,59,58,58,58,59,59,59,59,59,59,60,60,60,59,,,,,,,
154,The former Yugoslav Republic of Macedonia,22,24,25,26,27,25,25,25,26,26,27,27,29,30,30,32,33,34,32,32,,,,,,,
230,Ukraine,41,35,38,36,37,36,35,34,34,34,34,35,37,38,40,41,42,42,42,41,,,,,,,
229,United Kingdom,54,53,54,53,54,54,55,55,55,55,56,57,58,59,59,60,59,59,58,58,,,,,,,
231,United States of America,70,70,71,71,72,71,71,72,73,73,73,74,74,75,75,75,74,73,72,71,,,,,,,
5801,Least developed countries,9,8,8,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,12,12,,,,,,,
5802,Landlocked developing countries,17,15,15,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,16,16,,,,,,,
5803,Small island developing States,25,24,23,23,23,23,24,24,24,24,24,24,24,24,25,26,27,28,28,28,,,,,,,
5858,Low income economies,9,8,8,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,11,12,,,,,,,
5859,Lower-middle-income economies,12,12,12,12,13,13,13,13,13,13,13,14,14,14,15,15,16,16,16,16,,,,,,,
5816,Low-income food-deficit countries,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,,,,,,,
