,(table of contents),V_3.6 - Per capita food production variability,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2004-2006 thousand int$ per capita),,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
212,Syrian Arab Republic,36.2,35.3,35.2,33.9,18.6,13.0,13.0,14.7,18.8,22.8,29.9,29.8,25.6,32.8,29.7,22.4,21.2,14.7,19.0,27.7,27.9,26.1,20.5,23.3
223,Turkey,16.2,13.9,11.2,11.3,7.5,5.0,5.8,8.4,8.6,18.2,17.7,15.3,20.5,19.3,13.9,14.1,12.1,10.1,12.4,12.6,12.1,9.7,4.7,6.1
225,United Arab Emirates,22.1,15.5,8.7,8.1,6.9,6.7,6.2,6.2,15.1,16.3,48.8,71.6,68.8,72.4,79.3,74.6,11.2,14.6,14.1,14.1,14.0,25.1,25.8,29.9
299,West Bank and Gaza Strip,3.6,2.0,4.1,6.7,9.0,10.8,12.1,21.8,29.1,28.3,26.5,15.2,14.6,11.5,10.9,8.7,8.0,10.4,10.4,7.8,8.2,7.8,9.9,16.5
249,Yemen,5.7,3.3,4.9,4.7,4.3,2.7,2.6,2.6,2.4,1.6,1.6,2.2,2.5,2.0,1.9,1.4,2.1,1.3,1.7,2.0,2.0,1.4,2.2,2.7
5205,Latin America and the Caribbean,3.7,3.4,2.0,2.1,3.6,3.5,5.3,5.3,5.3,4.9,4.9,3.6,3.9,4.0,4.3,3.2,3.2,3.4,5.6,6.6,9.3,9.2,9.1,10.1
5206,Caribbean,14.1,11.1,7.8,6.4,16.8,18.6,17.1,11.7,8.3,7.7,8.8,10.1,11.9,11.6,5.6,2.3,8.5,10.1,8.5,7.3,4.2,4.8,4.3,4.5
258,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,8.2,8.6,8.6,11.3,14.5,13.0,11.8,10.6,13.5,13.1,6.4,6.2,6.7,7.6,4.7,3.5,4.5,4.6,5.5,7.0,7.5,7.3,7.5,8.1
22,Aruba,,,,,,,,,,,,,,,,,,,,,,,,
12,Bahamas,2.0,1.9,4.6,6.2,7.1,6.4,5.5,9.7,9.9,12.9,10.2,11.2,12.5,13.9,11.6,2.2,2.3,2.3,1.6,1.6,2.7,5.1,6.0,6.4
14,Barbados,8.9,6.2,5.3,8.3,13.8,14.6,11.5,16.5,18.1,14.7,11.3,8.6,8.0,9.2,9.4,6.5,9.4,9.2,7.6,7.4,6.7,5.4,5.6,5.2
239,British Virgin Islands,1.3,3.5,3.3,3.2,3.1,3.3,1.6,1.2,1.2,1.1,1.1,0.4,0.3,0.5,0.5,0.5,0.6,0.8,0.9,1.3,1.3,1.3,1.5,1.8
36,Cayman Islands,3.2,3.3,3.4,3.1,2.7,1.0,1.4,0.9,0.8,0.4,0.1,0.1,0.2,0.2,0.3,1.0,1.3,1.3,1.2,0.1,0.4,0.6,0.8,1.0
49,Cuba,37.2,35.1,27.3,22.2,53.8,60.2,52.1,34.0,23.4,20.8,27.2,32.0,35.5,31.8,12.9,5.2,24.8,32.6,30.8,25.1,11.7,11.5,9.1,9.1
