country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12E+12,1.26E+12,1.48E+12,1.72E+12,1.99E+12,2.25E+12,2.52E+12,2.80E+12,3.05E+12,3.34E+12,3.70E+12,4.10E+12,4.55E+12,5.10E+12,5.77E+12,6.64E+12,7.71E+12,9.05E+12,1.01E+13,1.11E+13,1.25E+13,1.40E+13,1.53E+13,1.68E+13,1.83E+13,1.98E+13,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25323486247,26177090435,26708332257,27291160591,28098051895,30728041175,33707427086,35567783078,37726550584,38923464148,38985762279,39922605253,39859480456,40101591089,41711816068,43795016422,45824775161,47874676249,50055049171,52075061302,53774598836,52476906029,59165494348,65465432147,72292581592,79766110568,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21596990912,21465928272,21274641356,20053151504,20902492167,22219380958,23736334326,25425557647,26959670431,28484176887,30348201789,32441028272,34259579209,36351273785,38733505757,40898087259,43513650640,46126055782,48387262245,49696600513,51947816706,55215701705,58813179767,63086849399,68022404994,72723626379,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8108227039,8578796967,9003536577,9127449464,8809646020,9351802384,9931086692,10037944968,10526127472,10411246008,11454858181,12161412198,12913879155,13278507347,14117968003,15702420422,17194126823,17372430842,18700237484,20249558528,22290692460,23529134761,24873129578,26144464868,28416857416,29482728887,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67E+11,1.76E+11,1.89E+11,1.99E+11,2.15E+11,2.30E+11,2.40E+11,2.52E+11,2.56E+11,2.49E+11,2.66E+11,2.77E+11,2.88E+11,3.05E+11,3.30E+11,3.57E+11,3.93E+11,4.31E+11,4.55E+11,4.66E+11,4.90E+11,5.34E+11,5.65E+11,6.02E+11,6.40E+11,6.67E+11,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425629993.7,416067453.8,461855430.5,487057579.3,471175391.6,498367402.8,500910596.1,530017627.9,542641793.7,561546841.4,636628152.2,666326872.6,692284249.7,720945615.1,754989440.2,801393684.9,847878415.9,877408189.3,898200402.5,922669570.5,954485238.6,999520790.7,1048470452,1102692441,1145575066,1169654605,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366127313.3,383625991.6,435287089.5,484451749.2,589669857.5,687518032.5,779502548.5,880995510.4,1002030079,1131539591,1322605071,1382934545,1477895454,1570317014,1778025748,1962096115,2183838467,2582078171,2807818687,2793200080,2868785585,3044224922,3133843837,3209546147,3327931745,3412668610,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15582452258,16515224044,18445152069,20222418031,21579523346,22937551657,23645396868,25388462986,27450643068,28969767634,30735484489,32533176746,34119953260,36281243863,38895503400,41701060179,46093166744,51184898052,54615523961,54496197504,57893323062,61633610801,65779909049,68211001974,71498003678,74976669841,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35073961025,37092109771,38036766171,40131050572,42100892874,44242161847,46571417252,48920129097,50799567658,53699812825,57022414720,59681432278,63119346683,68860251350,74044325403,79308192756,87840654083,93307125564,96735936628,94107370552,96759657806,99795377610,1.03E+11,1.06E+11,1.09E+11,1.11E+11,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93663607764,86432690929,78165371114,68118846522,70067263604,73286242636,80473720565,84130585730,85176048788,91833639309,99479710152,1.05E+11,1.08E+11,1.14E+11,1.24E+11,1.43E+11,1.65E+11,1.82E+11,1.93E+11,1.97E+11,2.04E+11,2.14E+11,2.25E+11,2.35E+11,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823463452,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7638015470,7950611101,8896243042,9171663308,9919492436,10983902003,11311440409,11975071847,12855044230,13651936565,15057398841,16344143370,17006152290,17455340261,18994504744,20804238177,22901460232,25304324119,27393345521,27410875755,27616337035,28242887109,27540530527,26384713237,25986571848,26734859568,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+11,1.19E+11,1.21E+11,1.24E+11,1.30E+11,1.41E+11,1.50E+11,1.51E+11,1.53E+11,1.57E+11,1.65E+11,1.79E+11,1.85E+11,1.97E+11,2.12E+11,2.24E+11,2.43E+11,2.68E+11,2.89E+11,2.88E+11,2.90E+11,3.02E+11,3.05E+11,3.21E+11,3.41E+11,3.56E+11,
