"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"11","Barbados",2011,0.830201250904897,0.922674513142258,0.522388059701492,0.110744320424748,0.0838782899485704,0.192426928134871,0.299649003795672,0.24765386124302,0.220169933509636,0.266347259128356,0.167267119552812,0.324793008398205,0.265894756180378,0.134008979710513,0.320426388491903,NA,NA,NA,0.0113636363636364,0.394518058271351,0.243320163276853,0.715797940772836,0.31656619006312,0.229319593463085,NA
"12","Belgium",2011,0.995190129020187,0.883442280655952,0.895522388059702,0.301434528611546,0.01812336535786,0.0493002108830736,0.0885317407435104,0.0186573780607049,0.0816535439371979,0.0870289089693491,0.0460390831707502,0.0684897528155,0.26866124564546,0.0203746655866349,0.180617189529389,NA,NA,NA,0.102272727272727,0.37590560682781,0.0964402209643733,0.751512672167983,0.598478458335624,0.0843160986090391,NA
"13","Belize",2011,0.877503029692357,0.752171659949283,0.552238805970149,0.0542328369299545,0.0400018013416722,0.0614464438446054,0.111469042832841,0.0135762579435478,0.0494336395667391,0.0527234055803874,0.0559174239453765,0.0856655893939417,0.107732417133389,0.0817251653830984,0.114408501070747,0,0.222222222222222,0,0.0568181818181818,0.48321445432437,0.0701478000021534,0.704296381322004,0.303235821450052,0.0703726989123951,0.0740740740740741
"14","Benin",2011,0.649438583965601,0.90092504700333,0.447761194029851,0.00857301444266417,0.0189849467191483,0.0315161915192954,0.0735365916611427,0.0218017153910251,0.0339170617609985,0.0639104591815194,0.0357226073329434,0.032982636468721,0.114893135995223,0.0631955233444455,0.0353573572136945,NA,NA,NA,0.0568181818181818,0.43904428871181,0.0502225620860712,0.663135973226913,0.228167104236257,0.0478016569625597,NA
"15","Bermuda",2011,0.917658686717899,0.872192419144753,NA,0.407245526789078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bosnia and Herzegovina",2011,0.865599325572668,0.989036584559241,0.537313432835821,0.064778131584723,0.0112766920391514,0.0167406881535415,0.0262676993669634,0.00836416716947377,0.0289766464866264,0.0279091876925536,0.0150782855544989,0.0195533845944933,0.0437878998754748,0.00515122187005758,0.0319235676767035,NA,NA,NA,0.159090909090909,1,0.0225930451149852,0.951545303377303,0.301045782210272,0.0213663127708671,NA
"17","Brazil",2011,0.862594363694797,0.858192895929099,0.671641791044776,0.106470172726204,0.004293129656676,0.0167114009514519,0.0282398117068249,0.00443349722670785,0.0272712142176217,0.0198569181256921,0.0161509743023617,0.0309849710482057,0.0218728961979142,0.00861278328580166,0.0194031796908666,0.0222222222222222,0.244444444444444,0.0294117647058823,0.5,0.743749599650096,0.0185733042618964,0.821512286424664,0.38905598188549,0.017984616037284,0.0986928104575163
"18","Brunei",2011,0.820367221418512,0.716858771269745,0.522388059701492,0.544178552407747,0.0488168147284891,0.0924572958520952,0.150544090995731,0.181249848836923,0.174402690764431,0.13868129954102,0.0999237541217431,0.139345282610459,0.335417136059143,0.0845958093768247,0.282990574766536,NA,NA,NA,NA,NA,0.179575799509635,NA,0.53328330605462,0.157129508877581,NA
"19","Bulgaria",2011,0.98299016284934,0.943835920459688,0.373134328358209,0.112253680328808,0.0104767572464676,0.0199991092091189,0.0301982170162352,0.0218519345355513,0.0389713070708403,0.0465182036230683,0.020881918507388,0.0411253462131359,0.0621933955429025,0.0069636232755406,0.0425640024296789,NA,NA,NA,0.5,0.745262371090831,0.0351337163997632,0.89069615146662,0.242694004343509,0.0310676195154479,NA
"20","Cote dIvoire",2011,0.998897788038435,0.512086200857938,0.611940298507463,0.0144553982275695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313197848367516,NA,NA
