"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"10370","France","Blue mussel","Atlantic, Northeast",2010,184420.02,1.87369211387235,0.184552242454106,98426,10,10,9,8,7,10,9,8.1
"10371","France","Blue mussel","Mediterranean and Black Sea",2010,578.02,0.0125370350287387,0.000578434419339736,46105,10,10,9,8,7,10,9,8.1
"10380","France","European seabass","Mediterranean and Black Sea",2010,206.26,0.252151589242054,0.00020640788092629,818,10,3,5,7,5,5,5.8,5.7
"10382","France","Gilthead seabream","Atlantic, Northeast",2010,485.64,74.7138461538461,0.000485988186236029,6.5,10,1,1,5,3,1,3.5,4.3
"10383","France","Gilthead seabream","Mediterranean and Black Sea",2010,8.18,0.134098360655738,8.18586476280931e-06,61,10,1,1,5,3,1,3.5,4.3
"10397","France","Pacific cupped oyster","Mediterranean and Black Sea",2010,0,0,0,229.8,1,10,10,5,5,1,5.3,6.2
"10425","Greece","European flat oyster","Mediterranean and Black Sea",2010,11228.07,114.455351681957,0.0977288540814946,98.1,10,10,7,5,7,10,8.2,7.3
"10426","Greece","European seabass","Mediterranean and Black Sea",2010,40997.76,35.4651903114187,0.356843527401249,1156,10,3,5,5,5,1,4.8,5
"10427","Greece","Flathead grey mullet","Mediterranean and Black Sea",2010,4178.91,0.332292461832061,0.036373133192944,12576,10,3,5,5,5,3,5.2,5.7
"10447","Iceland","Haddock","Atlantic, Northeast",2010,700,32.8792860497886,0.00570438011642151,21.29,10,3,5,8,7,5,6.3,6.9
"10449","Iceland","Spotted wolffish","Atlantic, Northeast",2010,867.31,1.30031484257871,0.00706780845539077,667,10,3,6,8,7,5,6.5,6.9
"10468","Ireland","Atlantic salmon","Atlantic, Northeast",2010,11841.2,12.9980241492865,0.00751961117795803,911,10,3,3,5,5,5,5.2,5.4
"10473","Ireland","European flat oyster","Atlantic, Northeast",2010,60.51,0.729036144578313,3.84261453550519e-05,83,10,10,7,5,7,10,8.2,7.3
