"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","native_q","fishmeal_q","habitat_q","trade","fs","nutrition","ecol","totscore"
"162","Tunisia",2011,0.412828298,0.917837565,141,10218.6,0.006933294,0.006906278,0.03719273,0.010462767,0.010235914,0.052449554,0.017448266,0.035843224,0.009577414,0.00609139,0.010839669,NA,NA,NA,27,0.0801823492263972,3,3,3,5,5,3,4,4,4,4,4,3,3,3,3.625,3,3,3,NA,NA,NA,3,4,3.20833333333333,NA,3.40277777777778
"163","Turkey",2011,0.908930025,1.237996844,154,17873.7,0.002255366,0.002782424,0.013630217,0.003821252,0.002153118,0.012558294,0.004996679,0.007767566,0.003602349,0.00205759,0.003137033,6.4,3.2,5.1,24,0.366945565240703,4,3,4,4,5,4,3,1,2,2,1,2,1,1,1.625,1,2,1,2,3,4,3.66666666666667,4.5,1.20833333333333,3,3.125
"164","Turks and Caicos Islands",2011,0.339943464,1.610068434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Tuvalu",2011,2.922425257,0.567217379,NA,3488.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000224618149146451,5,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA
"166","Ukraine",2011,0.209861122,1.483530371,125,8281.9,0.007651588,0.007103203,0.040241025,0.00680094,0.01059705,0.049999506,0.015770567,0.029322478,0.014827548,0.005320624,0.012815581,7.7,9.5,6.2,34,0.130862743354965,2,4,3,5,3,2,4,4,4,4,3,4,2,3,3.5,3,3,3,3,4,4,3,2.5,3.16666666666667,3.66666666666667,2.88888888888889
"167","USSR",2011,3.755813953,1.083825576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","United Arab Emirates",2011,1.620048122,0.324890468,122,57594.1,0.005420003,0.008819104,0.052255854,0.017599718,0.007310721,0.032369645,0.019012223,0.029710132,0.006573702,0.013407761,0.010163695,NA,NA,NA,13,0.0055225092152714,4,1,2,3,3,5,5,3,3,4,3,2,4,3,3.375,3,4,4,NA,NA,NA,2.33333333333333,4,3.125,NA,3.15277777777778
"169","United Kingdom",2011,0.49490484,1.610935729,137,36590.2,0.004247787,0.0056073,0.035317963,0.005147956,0.007238044,0.029208308,0.009317407,0.022289466,0.011322349,0.00525779,0.016924039,9.9,1.9,3.5,36,0.331235058699749,3,4,4,5,5,5,3,3,3,3,3,3,2,4,3,3,3,3,3,1,2,3.66666666666667,5,3.33333333333333,2,4
"170","United States of America",2011,2.048564456,0.630328023,143,49781.4,0.001928865,0.00512974,0.032364206,0.004765881,0.00384756,0.017815904,0.006178617,0.01860036,0.015048628,0.00535445,0.022275358,3.7,7.3,5.8,44,0.0731155225477095,5,2,3,5,5,5,3,2,2,2,3,4,2,4,2.75,1,3,3,1,4,4,3.33333333333333,5,2.58333333333333,3,3.63888888888889
"171","Uruguay",2011,1.043711249,0.588638809,122,17904.8,0.002171886,0.002108266,0.0117572,0.000502121,0.002385933,0.008461841,0.004285698,0.011344325,0.002744696,0.001903285,0.00257991,NA,NA,NA,13,0.000871229932155572,4,2,1,3,3,4,1,1,1,1,2,1,1,1,1.125,1,1,1,NA,NA,NA,2.33333333333333,3.5,1.04166666666667,NA,2.29166666666667
