"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","energy_adequacy","food_deficit","food_price","food_production","gdp","protein","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"2396",2011,"Cambodia",128485,166005,481991,375683,0.773982711364116,1.28297261254835,1.65762438063656,108,118,7.65,249,2648.7,63,18,"17.0",6.5,16,14.4,"2.4",2415,34,15.7,6.7,5,5,3,1,1,3,10,1,7,3,5,3,1
"2402",2011,"Chile",435062,219942,1952184,474563,1.97807603822826,4.11364560658964,2.07961955308563,122,28,2.4,460,20266,85,43,"<5.0",6.4,27,17.2,"ns",2950,86,24.4,13,3.1,3,3.2,3.2,3.2,3.5,3.2,3.2,5.2,4.2,4.7,5,3.9
"2403",2011,"China",362518,168873,776541,371619,2.1466901162412,2.08961597765453,0.973412958789506,124,101,3.1,346,10518.1,94,37,"12.5",8.4,25,1390.6,"173.4",3039,93,28.9,3.4,2.6,3.4,9.9,6.9,6.9,4.9,9.8,5.2,7.1,6,5.8,6.1,1.9
"2406",2011,"Colombia",316505,380852,361220,919449,0.831044605253484,0.392865727190959,0.472737233004632,115,75,2.78,266,11496.5,62,32,"10.7",4.1,59,46.4,"5.0",2690,77,23.9,9.8,10,5,3,3,3,5,1,3,5,3,5,5,3
"2411",2011,"Costa Rica",171487,524311,204040,956827,0.327071146704914,0.213246490744931,0.651988085446509,118,37,3.35,580,13072.1,76,39,"5.3",7.6,24,4.7,"0.2",2870,87,20.8,22.8,10,5,3,1,1,5,5,3,5,5,5,3,5
"2422",2011,"Ecuador",143768,105094,363490,275363,1.36799436694768,1.32003936621841,0.964945030558661,110,94,3.39,486,9927,66,41,"14.4",5.2,28,15,"2.2",2435,101,12.6,16.3,9.9,5,3,5,5,5,1,1,5,3,5,5,3
"2423",2011,"Egypt",62374,53693,75000,414620,1.1616784310804,0.18088852443201,0.155713078242984,151,17,7,263,10071.2,102,24,"<5.0",14.3,33,78.1,"ns",3506,62,55.1,11.5,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
"2447",2011,"Guatemala",39958,80025,305181,522107,0.499318962824117,0.584518116018364,1.17063071811326,118,94,6.47,258,6798.8,64,18,"14.8",8.3,35,14.3,"2.1",2459,57,26.4,8.4,5,5,1,3,3,5,1,5,5,1,1,3,5
"2452",2011,"Honduras",91334,132618,254156,469272,0.688699874828455,0.5415963449769,0.786404012505163,118,104,4.94,210,4433.7,65,25,"14.9",8.8,26,7.6,"1.1",2608,72,26.6,10.4,5,5,1,5,5,3,1,1,5,2,2,3,1
"2455",2011,"India",455488,1669875,2427128,283369,0.27276772213489,8.56525590308044,31.4012810461668,108,112,4.7,174,4685.9,59,12,"15.7",3,28,1205.6,"189.7",2438,52,14.5,5.1,10,1,1,1,1,3,1,1,7,4,5,7,1
