"country","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance"
"Kazakhstan",0.00216851528096025,0.0112224933687003,0.00191306325275836,0.00155517535547856,0.00204315833998594,0.00185921752902209,0.127765497921126,0.102158247329347,0.0953754163321924,0.0874716931705314,0.0546689790601934,0.0517495244892171,0.0865315597171011
"Kyrgyzstan",0.00128204942281242,0.00643406730952166,0.00181012476726234,0.00102717826470219,0.00104972694685688,0.000916817828434226,0.0755363286130899,0.058569251764762,0.0902434370854883,0.0577742064166265,0.028087642231896,0.0255187388910123,0.0559549341671458
"Tajikistan",0.000212351226134537,0.00123285786359675,0.00020934199707936,0.000160083613237941,0.000367878033821081,0.000352421111838103,0.0125113991030889,0.0112226930694844,0.0104367067311906,0.00900399086794314,0.00984334700550336,0.00980930131783754,0.010471239682508
"Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",6.45434227032696e-05,0.000322222207473462,7.15552475331655e-05,3.60165334095657e-05,4.55971013346738e-05,3.89144735785996e-05,0.00380279660079927,0.00293318560186365,0.00356737369472162,0.00202576972967673,0.00122004591092434,0.00108314679267248,0.00243871972177635
"China",0.00656314597723878,0.0352657800836112,0.00382193982220196,0.00434523509852085,0.0302120085245699,0.0392519790356932,0.386690202773035,0.32102405104483,0.190542106338363,0.24440013787042,0.808385541674398,1,0.491840339950174
"Democratic People's Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",0.000230327306297743,0.00103920058636213,0.000193205073170732,3.03655229973272e-05,0.00013908396675428,0.000121443512260922,0.0135705213757736,0.00945983276964767,0.00963220336002021,0.00170792554114746,0.00372148272470684,0.00338026288677943,0.0069120381096792
"Republic of Korea",0.021278822252514,0.118237917449908,0.0141046736342631,0.0111969536346574,0.0553713714344652,0.0607041160604264,1,1,0.703185907814549,0.629778815183212,1,1,0.88882745383296
"Eastern Asia (excluding China)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",0.00138097325178989,0.0106567189008756,0.00257735906021848,0.00470244496513806,0.00762529435951108,0.00144371426503583,0.0813647644911041,0.097008007884531,0.128493761537395,0.26449160327344,0.204030715343771,0.0401843923842524,0.135928874152416
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",0.000774070239421491,0.00548108305802485,0.00109055891317861,0.00175587855919352,0.00155847459098961,0.00254986754786028,0.0456069968397075,0.0498942454478138,0.0543696138793227,0.0987603552444589,0.0417002505940097,0.0709731008085218,0.0602174271356391
"Iran (Islamic Republic of)",0.00241358945402783,0.0118397627873671,0.00248892200279274,0.00296585476762824,0.00244598959694084,0.00204321944771072,0.142204881412914,0.107777244807829,0.124084748317883,0.166816132539924,0.0654475727307214,0.056871040206772,0.110533603336007
"Maldives",0.118372217582136,0.450663596672659,0.210947873763275,0.165148426443536,0.130006367147185,0.103517154815687,1,1,1,1,1,1,1
"Nepal",0.000153197426848816,0.000932258813192643,0.000108343148940148,8.31818379573197e-05,0.000221400783734666,0.000158144381917706,0.00902615060794352,0.00848634285485233,0.00540142774788459,0.00467860822352379,0.00592404150624183,0.00440179615194732,0.00631972784873223
